"siteID","taxonID","scientificName","taxonRank","family","nativeStatusCode","morphospeciesID","identificationReferences","identificationHistoryID"
"CPER","ABLA","Abies lasiocarpa (Hook.) Nutt.","species","Pinaceae","N",NA,NA,NA
"CPER","ABFR2","Abronia fragrans Nutt. ex Hook.","species","Nyctaginaceae","N",NA,NA,NA
"CPER","ACMIA","Achillea millefolium L. var. alpicola (Rydb.) Garrett","variety","Asteraceae","N",NA,NA,NA
"CPER","ACHY","Achnatherum hymenoides (Roem. & Schult.) Barkworth","species","Poaceae","N",NA,NA,NA
"CPER","AGCR","Agropyron cristatum (L.) Gaertn.","species","Poaceae","I",NA,NA,NA
"CPER","AGPE","Agrostis perennans (Walter) Tuck.","species","Poaceae","N",NA,NA,NA
"CPER","ALTE","Allium textile A. Nelson & J.F. Macbr.","species","Liliaceae","N",NA,NA,NA
"CPER","AMARA","Amaranthus sp.","genus","Amaranthaceae","UNK",NA,NA,NA
"CPER","AMTO3","Ambrosia tomentosa Nutt.","species","Asteraceae","N",NA,NA,NA
"CPER","ANME2","Antennaria media Greene","species","Asteraceae","N",NA,NA,NA
"CPER","ARCA","Arabis canadensis L.","species","Brassicaceae","N",NA,NA,NA
"CPER","ARCR5","Arabis crandallii B.L. Rob.","species","Brassicaceae","N",NA,NA,NA
"CPER","ARDR","Arabis drummondii A. Gray","species","Brassicaceae","N",NA,NA,NA
"CPER","ARPE","Arabis pendulina Greene","species","Brassicaceae","N",NA,NA,NA
"CPER","ARFEF3","Arenaria fendleri A. Gray var. fendleri","variety","Caryophyllaceae","N",NA,NA,NA
"CPER","ARHO4","Arenaria hookeri Nutt.","species","Caryophyllaceae","N","white up cushion",NA,NA
"CPER","ARHOH3","Arenaria hookeri Nutt. ssp. hookeri","subspecies","Caryophyllaceae","N",NA,NA,NA
"CPER","ARPO2","Argemone polyanthemos (Fedde) G.B. Ownbey","species","Papaveraceae","N",NA,NA,NA
"CPER","ARGEM","Argemone sp.","genus","Papaveraceae","N",NA,NA,NA
"CPER","ARPU9","Aristida purpurea Nutt.","species","Poaceae","N",NA,NA,NA
"CPER","ARCO9","Arnica cordifolia Hook.","species","Asteraceae","N",NA,NA,NA
"CPER","ARCA12","Artemisia campestris L.","species","Asteraceae","N",NA,NA,NA
"CPER","ARDR4","Artemisia dracunculus L.","species","Asteraceae","N",NA,NA,NA
"CPER","ARFI2","Artemisia filifolia Torr.","species","Asteraceae","N",NA,NA,NA
"CPER","ARFR3","Artemisia franserioides Greene","species","Asteraceae","N",NA,NA,NA
"CPER","ARFR4","Artemisia frigida Willd.","species","Asteraceae","N",NA,NA,NA
"CPER","ARLU","Artemisia ludoviciana Nutt.","species","Asteraceae","N",NA,NA,NA
"CPER","ARTEM","Artemisia sp.","genus","Asteraceae","UNK",NA,NA,NA
"CPER","ARTEMSPP","Artemisia spp.","genus","Asteraceae","UNK","smelly artemesea",NA,NA
"CPER","ASTER","Aster sp.","genus","Asteraceae","N",NA,NA,NA
"CPER","ASTERSPP","Aster spp.","genus","Asteraceae","N",NA,NA,NA
"CPER","ASTERA","Asteraceae sp.","family","Asteraceae","UNK",NA,NA,NA
"CPER","ASTERASPP","Asteraceae spp.","family","Asteraceae","UNK",NA,NA,NA
"CPER","ASGR15","Asterella gracilis (F. Weber) Underw.","species","Aytoniaceae","N",NA,NA,NA
"CPER","ASCR2","Astragalus crassicarpus Nutt.","species","Fabaceae","N",NA,NA,NA
"CPER","ASDR3","Astragalus drummondii Douglas ex Hook.","species","Fabaceae","N",NA,NA,NA
"CPER","ASGR3","Astragalus gracilis Nutt.","species","Fabaceae","N",NA,NA,NA
"CPER","ASMI10","Astragalus missouriensis Nutt.","species","Fabaceae","N",NA,NA,NA
"CPER","ASMO7","Astragalus mollissimus Torr.","species","Fabaceae","N",NA,NA,NA
"CPER","ASPE5","Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don","species","Fabaceae","N",NA,NA,NA
"CPER","ASRA2","Astragalus racemosus Pursh","species","Fabaceae","N",NA,NA,NA
"CPER","ASTRA","Astragalus sp.","genus","Fabaceae","UNK",NA,NA,NA
"CPER","ASTRASPP","Astragalus spp.","genus","Fabaceae","UNK",NA,NA,NA
"CPER","ATCA2","Atriplex canescens (Pursh) Nutt.","species","Chenopodiaceae","N",NA,NA,NA
"CPER","ATRIP","Atriplex sp.","genus","Chenopodiaceae","UNK",NA,NA,NA
"CPER","BASSI","Bassia sp.","genus","Chenopodiaceae","UNK",NA,NA,NA
"CPER","BOGR","Boerhavia gracillima Heimerl","species","Nyctaginaceae","N",NA,NA,NA
"CPER","BORAGI","Boraginaceae sp.","family","Boraginaceae","UNK",NA,NA,NA
"CPER","BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","species","Poaceae","N",NA,NA,NA
"CPER","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species","Poaceae","N",NA,NA,NA
"CPER","BOUTE","Bouteloua sp.","genus","Poaceae","N",NA,NA,NA
"CPER","BRASS2","Brassica sp.","genus","Brassicaceae","I",NA,NA,NA
"CPER","BRASSI","Brassicaceae sp.","family","Brassicaceae","UNK",NA,NA,NA
"CPER","BRTE","Bromus tectorum L.","species","Poaceae","I",NA,NA,NA
"CPER","CACTAC","Cactaceae sp.","family","Cactaceae","UNK",NA,NA,NA
"CPER","CAPA10","Campanula parryi A. Gray","species","Campanulaceae","N",NA,NA,NA
"CPER","CARO2","Campanula rotundifolia L.","species","Campanulaceae","N",NA,NA,NA
"CPER","CAPU6","Cardaria pubescens (C.A. Mey.) Jarmolenko","species","Brassicaceae","I",NA,NA,NA
"CPER","CADU6","Carex duriuscula C.A. Mey.","species","Cyperaceae","N",NA,NA,NA
"CPER","CAFI","Carex filifolia Nutt.","species","Cyperaceae","N",NA,NA,NA
"CPER","CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","variety","Cyperaceae","N",NA,NA,NA
"CPER","CAREX","Carex sp.","genus","Cyperaceae","UNK",NA,NA,NA
"CPER","CAREXSPP","Carex spp.","genus","Cyperaceae","UNK",NA,NA,NA
"CPER","CHHE","Chaetopappa hersheyi S.F. Blake","species","Asteraceae","N",NA,NA,NA
"CPER","CHGL13","Chamaesyce glyptosperma (Engelm.) Small","species","Euphorbiaceae","N",NA,NA,NA
"CPER","CHGL13/CHSE6","Chamaesyce glyptosperma/serpyllifolia","speciesGroup","Euphorbiaceae","N",NA,NA,NA
"CPER","CHSE6","Chamaesyce serpyllifolia (Pers.) Small","species","Euphorbiaceae","N",NA,NA,NA
"CPER","CHAMA15","Chamaesyce sp.","genus","Euphorbiaceae","N",NA,NA,NA
"CPER","CHAMA15SPP","Chamaesyce spp.","genus","Euphorbiaceae","N",NA,NA,NA
"CPER","CHANC","Chamerion angustifolium (L.) Holub ssp. circumvagum (Mosquin) Hoch","subspecies","Onagraceae","N",NA,NA,NA
"CPER","CHENOP","Chenopodiaceae sp.","family","Chenopodiaceae","UNK",NA,NA,NA
"CPER","CHENOPSPP","Chenopodiaceae spp.","family","Chenopodiaceae","UNK","Rubber-sword",NA,NA
"CPER","CHAL7","Chenopodium album L.","species","Chenopodiaceae","NI",NA,NA,NA
"CPER","CHAT","Chenopodium atrovirens Rydb.","species","Chenopodiaceae","N",NA,NA,NA
"CPER","CHDE","Chenopodium desiccatum A. Nelson","species","Chenopodiaceae","N",NA,NA,NA
"CPER","CHGL3","Chenopodium glaucum L.","species","Chenopodiaceae","I",NA,NA,NA
"CPER","CHHI","Chenopodium hians Standl.","species","Chenopodiaceae","N",NA,NA,NA
"CPER","CHIN2","Chenopodium incanum (S. Watson) A. Heller","species","Chenopodiaceae","N",NA,NA,NA
"CPER","CHLE4","Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson","species","Chenopodiaceae","N",NA,NA,NA
"CPER","CHPR5","Chenopodium pratericola Rydb.","species","Chenopodiaceae","N",NA,NA,NA
"CPER","CHENO","Chenopodium sp.","genus","Chenopodiaceae","UNK",NA,NA,NA
"CPER","CHENOSPP","Chenopodium spp.","genus","Chenopodiaceae","UNK",NA,NA,NA
"CPER","CHWA","Chenopodium watsonii A. Nelson","species","Chenopodiaceae","N",NA,NA,NA
"CPER","CICA11","Cirsium canescens Nutt.","species","Asteraceae","N",NA,NA,NA
"CPER","CIOC2","Cirsium ochrocentrum A. Gray","species","Asteraceae","N",NA,NA,NA
"CPER","CISC2","Cirsium scariosum Nutt.","species","Asteraceae","N",NA,NA,NA
"CPER","CIRSI","Cirsium sp.","genus","Asteraceae","UNK",NA,NA,NA
"CPER","CIRSISPP","Cirsium spp.","genus","Asteraceae","UNK",NA,NA,NA
"CPER","CLSE","Cleome serrulata Pursh","species","Capparaceae","N",NA,NA,NA
"CPER","COMAN","Comandra sp.","genus","Santalaceae","N",NA,NA,NA
"CPER","COUM","Comandra umbellata (L.) Nutt.","species","Santalaceae","N",NA,NA,NA
"CPER","COAR4","Convolvulus arvensis L.","species","Convolvulaceae","I",NA,NA,NA
"CPER","COCA5","Conyza canadensis (L.) Cronquist","species","Asteraceae","N",NA,NA,NA
"CPER","COCA15","Corydalis caseana A. Gray","species","Fumariaceae","N",NA,NA,NA
"CPER","CRCIJ","Cryptantha cinerea (Greene) Cronquist var. jamesii (Torr.) Cronquist","variety","Boraginaceae","N",NA,NA,NA
"CPER","CRCR3","Cryptantha crassisepala (Torr. & A. Gray) Greene","species","Boraginaceae","N",NA,NA,NA
"CPER","CRMI5","Cryptantha minima Rydb.","species","Boraginaceae","N",NA,NA,NA
"CPER","CRYPT","Cryptantha sp.","genus","Boraginaceae","UNK",NA,NA,NA
"CPER","CRYPTSPP","Cryptantha spp.","genus","Boraginaceae","UNK",NA,NA,NA
"CPER","CRAC3","Cryptogramma acrostichoides R. Br.","species","Pteridaceae","N",NA,NA,NA
